Date,Open,High,Low,Close,Volume
,FIX,FIX,FIX,FIX,FIX
2023-01-03,114.36725600010345,115.8602516222071,113.3290862311979,115.7811508178711,188100
2023-01-04,116.24585717402212,117.52132934013586,112.8347161215668,113.58615112304688,178100
2023-01-05,113.19066883613175,113.3785238257927,110.02670440740913,110.60017395019531,208400
2023-01-06,112.23159827322307,113.41808028264613,111.47026615667721,112.4787826538086,307100
2023-01-09,113.15111326557499,115.00993690785323,112.43922111303118,113.32908630371094,184400
2023-01-10,112.79516297081155,114.2683795659422,112.79516297081155,114.10029602050781,173400
2023-01-11,114.6243489522929,116.26564942682445,113.94211760222403,115.80094909667969,129900
2023-01-12,115.92947932588214,119.97341233992414,115.089053905561,119.42961120605469,424400
2023-01-13,119.06376891714818,123.59218851476149,119.06376891714818,122.83086395263672,252500
2023-01-17,122.26727163155282,123.40431361725645,116.65124284606262,118.45074462890625,193900
2023-01-18,118.67815277227565,120.47765459702364,117.52133178710938,117.52133178710938,128700
2023-01-19,117.07639525895739,117.83771971249729,113.28952933253925,113.44772338867188,161700
2023-01-20,114.55512029681604,115.82070301190046,112.52820552928777,115.7712631225586,196700
2023-01-23,115.89981080166518,117.39280653683595,114.85175146697935,116.7303466796875,114600
2023-01-24,115.41533660451688,119.55814177621559,115.41533660451688,118.32221984863281,103300
2023-01-25,117.54111624417169,118.3716597018213,116.49305686385719,116.8687744140625,91800
2023-01-26,118.16401559036343,118.72759563907714,115.92946682552132,118.04536437988281,137100
2023-01-27,117.90694719274462,118.6386108325452,117.66965230427633,117.80807495117188,78600
2023-01-30,116.70068576168221,119.63723733970258,116.70068576168221,116.7303466796875,138600
2023-01-31,116.86876244712246,119.6767807006836,116.86876244712246,119.6767807006836,229000
2023-02-01,119.55812992653527,121.07089700900778,118.0948027336535,120.54686737060547,327100
2023-02-02,120.62598023300113,122.02998573347732,119.4394981989165,120.60620880126953,166500
2023-02-03,120.19091559938181,123.51307385771823,120.19091559938181,120.9522476196289,176100
2023-02-06,120.75450601996705,121.04124079510325,118.85613186403262,119.60757446289062,123700
2023-02-07,118.69793492015728,120.85338288160479,117.79818021198294,120.12171173095703,170200
2023-02-08,119.51859143621436,120.19093326693446,118.37165980937934,118.94512939453125,180200
2023-02-09,120.0030778401041,120.38868487688809,117.3532609334915,117.45213317871094,113300
2023-02-10,117.40268681567314,119.16263833140275,116.3941779004519,118.60894775390625,386300
2023-02-13,119.21207557996694,121.68391923679918,118.41120064906312,120.99180603027344,213200
2023-02-14,120.62597440128982,122.14863104894854,119.45926385534189,121.01158142089844,123700
2023-02-15,119.73610366834198,123.68116398107902,119.73610366834198,123.07804107666016,149500
2023-02-16,121.57516098092677,125.39168829943767,121.57516098092677,124.46227264404297,267900
2023-02-17,125.02584023456785,126.54849672387263,124.88741760312811,126.19255065917969,284700
2023-02-21,125.05551217122222,126.64737247705622,121.42684010764273,122.26727294921875,319600
2023-02-22,122.40570539551089,123.64162726928032,121.99042991288833,122.50457763671875,299800
2023-02-23,125.89594041669454,138.47268189751776,125.89594041669454,134.46829223632812,441500
2023-02-24,138.84841946702292,145.20601033393092,134.61662357710796,145.1565704345703,688300
2023-02-27,146.13538660300105,147.18344580344024,143.6536461435745,145.24551391601562,545200
2023-02-28,145.53227734677506,147.21312810604277,143.57458129007208,143.80198669433594,367800
2023-03-01,144.75116849943424,145.97720846913623,143.63390534855404,145.28509521484375,384400
2023-03-02,144.90935343194295,146.64954094162584,144.07881762246828,145.54214477539062,243000
2023-03-03,146.16504400698668,150.41661762198697,145.4729308805761,149.33888244628906,254900
2023-03-06,148.9928487228115,149.8233845597707,147.5196244913269,149.1312713623047,269900
2023-03-07,149.7937131087715,150.19909905554084,147.09446428501465,147.40097045898438,173600
2023-03-08,147.90519189197389,147.90519189197389,145.47290686541302,147.1438751220703,186700
2023-03-09,147.34686339430127,148.00018698931834,142.71411592004307,143.53573608398438,220400
2023-03-10,143.53569737419588,143.53569737419588,138.00215239020739,139.55628967285156,289600
2023-03-13,136.95290469389448,138.98219107227047,134.88399868463097,135.6165313720703,263600
2023-03-14,139.18016625102896,140.50663072462277,137.9922722878174,139.17025756835938,332200
2023-03-15,136.151065628043,136.151065628043,131.83509385099526,134.7454071044922,270700
2023-03-16,132.8052119143976,139.28907088565614,132.8052119143976,137.6161346435547,174100
2023-03-17,136.34903531781387,136.34903531781387,132.90416729140173,133.07244873046875,821600
2023-03-20,134.72560906288976,138.5367210260136,134.72560906288976,137.7447967529297,289600
2023-03-21,140.01169437030714,140.76401420046486,137.80421787948458,139.79391479492188,294500
2023-03-22,139.23958369610577,140.0710975404755,137.98240424504783,138.55654907226562,327200
2023-03-23,138.6555531851829,139.77413195451086,133.81491885442767,134.3197784423828,199600
2023-03-24,132.45872782270672,137.05187054346524,131.2213508493914,136.49752807617188,198900
2023-03-27,137.72501905854799,140.02158299309332,136.6757257441238,138.29916381835938,160400
2023-03-28,137.65570114090895,141.40743631091303,137.47752611991157,140.50662231445312,227900
2023-03-29,141.55592866357458,144.42663725892803,140.9619816622671,142.50624084472656,323400
2023-03-30,143.12986251547662,144.00098071922537,138.14076531377708,141.09066772460938,388100
2023-03-31,141.87269869624947,144.971080304945,141.87269869624947,144.4860382080078,282800
2023-04-03,144.34747040190982,146.18867302841704,143.73372108837313,145.12948608398438,270000
2023-04-04,145.8322882531599,145.8322882531599,137.35871918872166,138.7841796875,469200
2023-04-05,137.1706440653246,137.91307011433452,128.42981290241772,130.2908172607422,381100
2023-04-06,130.27106416239764,130.8154979902351,127.83589943900057,128.00418090820312,365700
