Date,Open,High,Low,Close,Volume
,ETHU,ETHU,ETHU,ETHU,ETHU
2024-06-04,303.5030359337016,313.03716858817586,302.2119381060179,306.87969970703125,17660
2024-06-05,310.45500207040084,320.98227287193583,303.9002840009038,320.187744140625,49695
2024-06-06,314.82481390933935,315.99670972816335,304.69479200097464,305.0920715332031,33860
2024-06-07,308.27001904112944,311.2295810951303,270.3321668686656,287.8113708496094,42145
2024-06-10,285.0306442367447,291.38672222777666,283.04436797028654,284.0375061035156,7380
2024-06-11,262.78432866523366,262.78432866523366,246.47698888538028,256.82550048828125,29045
2024-06-12,274.3047763269377,278.8731876898748,258.41456551137395,261.7912292480469,47180
2024-06-13,260.99670528205024,261.39398480622185,246.29827213287354,254.24337768554688,28140
2024-06-14,259.80495099658793,259.80495099658793,236.942906109703,242.5243377685547,35770
2024-06-17,260.40086094790695,266.95554914317773,251.26397693605352,264.1747741699219,40585
2024-06-18,239.54493195220485,246.49689938537713,236.2675728457492,243.9147491455078,29915
2024-06-20,260.99670982695335,261.39398935804303,252.65435491301002,259.8049621582031,27000
2024-06-21,250.07220649566054,259.40771484375,247.4900410654453,259.40771484375,20255
2024-06-24,226.2368713732159,229.1964187879313,215.90822562246376,224.25059509277344,62180
2024-06-25,234.38369344877086,241.7330065884165,232.19876374408852,239.7467041015625,43815
2024-06-26,234.78097335102336,239.15084838867188,226.6371353024203,239.15084838867188,39370
2024-06-27,244.11658171796955,248.68506840229296,242.92480324181065,244.71246337890625,49255
2024-06-28,243.9179693414117,248.48645630375273,231.78165904406106,232.79466247558594,38340
2024-07-01,247.0960423869928,251.26727474719576,243.91796131037555,246.8974151611328,36430
2024-07-02,244.31524328271823,244.71249777918646,235.97277762258437,238.55496215820312,27895
2024-07-03,222.86318353103312,228.4248378178796,221.07552301067201,224.0549774169922,37140
2024-07-05,178.3699909183701,182.93847809718204,173.80148858527096,181.1508026123047,118465
2024-07-08,188.3014909409179,188.50011816837207,169.82887085624364,182.73983764648438,62015
2024-07-09,190.287807694278,195.43232449358484,186.71245671671122,190.48643493652344,42965
2024-07-10,195.05490578121274,200.8151862493865,193.0686032166208,195.6508026123047,64360
2024-07-11,204.5891716309472,205.1850684838199,193.66450712638206,195.25355529785156,64100
2024-07-12,193.06860428767868,202.00696587792837,193.06860428767868,196.44532775878906,47460
2024-07-15,226.43847955626717,236.56861903187473,224.07477478872087,233.98643493652344,154275
2024-07-16,234.38369777467474,245.5069888754971,229.21931424439495,242.9248046875,93350
2024-07-17,238.45566664939318,242.72620571516293,228.02757653622942,234.58236694335938,66100
2024-07-18,243.5207194408891,244.3152435891096,227.23304259666352,232.59605407714844,79230
2024-07-19,232.39742840806304,252.2405892058586,232.19880115822994,249.47962951660156,81380
2024-07-22,244.11660685114612,246.30153680810253,235.9727687456066,245.01043701171875,84350
2024-07-23,244.1166160344841,245.30839467817643,229.02071785437695,238.55496215820312,173075
2024-07-24,239.5550848758475,239.95236608793314,224.45874737535354,224.95533752441406,92885
2024-07-25,196.2524290179468,199.43060287697776,188.9028858670389,193.27288818359375,143730
2024-07-26,206.7801462146136,212.93786136485153,204.19788639276132,211.7460479736328,62455
2024-07-29,223.46559069253195,223.46559069253195,208.56788464636315,215.71878051757812,82685
2024-07-30,220.6846919067453,221.87650541011607,208.76652656357564,210.35562133789062,98525
2024-07-31,218.30102711488112,220.48602068532153,206.97876290577088,210.15695190429688,80055
2024-08-01,198.23878437408604,200.32445381058596,184.83085097120713,192.0810546875,89395
2024-08-02,193.27284923542246,197.84146850126277,173.64760119565315,176.1901397705078,79605
2024-08-05,81.44078431895574,118.88367846879818,80.05033038828118,105.67438507080078,422895
